,Symbol,tweetCount,replyCount,retweetCount,likeCount,quoteCount,weightedSentiment,unweightedSentiment
0,SXTC,8,0.0,0.125,0.0,0.0,0.296,0.037
1,MTC,1000,0.299,0.57,2.489,0.072,0.3011656268221574,0.1852439
2,MDJH,11,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.05781818181818182
3,BCOW,6,0.0,0.0,0.0,0.0,0.0,0.0
4,RBKB,9,0.0,0.0,0.0,0.0,0.0,0.0
5,NFE,75,0.06666666666666667,0.26666666666666666,0.37333333333333335,0.013333333333333334,0.32448333333333335,0.3390933333333334
6,INMB,0,,,,,,
7,ALEC,1000,0.568,0.725,4.253,0.194,0.2332982229965157,0.1550809
8,RMG,1000,0.441,0.517,2.525,0.092,0.14397756643356643,0.1291902
9,HARP,40,0.125,0.5,0.75,0.075,0.08813448275862068,0.079395
10,GOSS,90,0.022222222222222223,0.2777777777777778,0.43333333333333335,0.011111111111111112,0.14835671641791046,0.07303111111111112
11,ANCN,24,0.0,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.148,0.04069999999999999
12,IMAC,1000,0.656,6.919,10.944,0.205,0.21632088763084809,0.13578289999999998
13,TCRR,60,0.18333333333333332,0.4,0.7,0.06666666666666667,-0.004632098765432093,-0.010235000000000001
14,MITO,20,0.05,0.2,0.9,0.0,0.22019565217391304,-0.027750000000000014
15,HOTH,1000,0.423,0.691,4.712,0.053,0.04457205307025003,0.1016465
16,AREC,1000,5.881,12.691,51.806,1.355,0.5410567423640446,0.1585791
17,SOLY,279,0.3118279569892473,0.5770609318996416,2.4982078853046596,0.025089605734767026,0.2995284663865546,0.2362236559139785
18,SLGG,58,0.034482758620689655,0.29310344827586204,1.1206896551724137,0.017241379310344827,0.6860435294117647,0.6508982758620689
19,KLDO,14,0.07142857142857142,0.14285714285714285,0.21428571428571427,0.07142857142857142,0.1583142857142857,0.13799285714285714
20,SWAV,46,0.06521739130434782,0.2391304347826087,0.2826086956521739,0.0,0.1756185185185185,0.07642826086956522
21,FUTU,273,0.0695970695970696,0.23443223443223443,0.663003663003663,0.03296703296703297,0.11434908424908426,0.08268717948717948
22,TIGR,44,0.0,0.20454545454545456,0.5,0.06818181818181818,0.21194705882352943,-0.00956363636363636
23,LEVI,1000,0.165,0.585,2.032,0.112,0.161092605390463,0.0958683
24,GNFT,158,0.24050632911392406,1.740506329113924,1.8481012658227849,0.06329113924050633,0.06334552845528454,0.16152974683544302
25,DTIL,56,0.05357142857142857,0.3392857142857143,0.7678571428571429,0.017857142857142856,0.23254545454545453,0.07481964285714285
26,PUYI,198,0.46464646464646464,0.12626262626262627,1.2373737373737375,0.005050505050505051,0.11256721763085399,0.11023737373737375
27,LYFT,1000,0.229,0.332,2.253,0.05,0.046426047486033524,0.2294402
28,PBTS,7,0.0,0.0,0.0,0.0,0.0,0.0
29,RPLA,5,0.0,0.6,4.4,0.0,0.573664,0.11752
30,TW,101,0.04950495049504951,0.16831683168316833,0.39603960396039606,0.0297029702970297,0.13594923076923077,0.09063366336633662
31,NGM,668,0.9326347305389222,0.21407185628742514,1.971556886227545,0.038922155688622756,0.615742057847321,0.23610868263473053
32,SILK,1000,0.291,0.965,4.075,0.114,0.06463476584022039,0.0474524
33,GHSI,4,0.0,0.25,0.25,0.25,0.23653333333333335,0.1774
34,PD,1000,0.621,1.519,10.356,0.22,0.10991282636049068,0.18116300000000002
35,TUFN,27,0.037037037037037035,0.2222222222222222,0.2962962962962963,0.0,0.19472666666666666,0.18640370370370377
36,JMIA,17,0.0,1.5294117647058822,1.8823529411764706,0.058823529411764705,0.2338728813559322,0.19700588235294117
37,BWAY,1000,0.464,0.576,7.034,0.109,0.4389732494195283,0.21128270000000002
38,PLMR,30,0.0,0.1,0.3,0.06666666666666667,0.43900000000000006,0.09722333333333331
39,TPTX,43,0.0,0.27906976744186046,0.20930232558139536,0.023255813953488372,-0.1186909090909091,0.07193953488372093
40,HOOK,49,0.0,0.2653061224489796,0.3877551020408163,0.02040816326530612,-0.018406060606060603,0.10041632653061225
41,GNLN,41,0.0,0.4146341463414634,1.048780487804878,0.14634146341463414,0.4097848484848485,0.14505609756097562
42,ZM,76,0.05263157894736842,0.5394736842105263,1.1710526315789473,0.13157894736842105,0.3116916666666667,0.20669473684210526
43,PINS,1000,0.366,0.915,5.544,0.087,0.16634999999999997,0.2426296
44,MNRL,37,0.05405405405405406,0.13513513513513514,0.40540540540540543,0.10810810810810811,0.14234615384615384,0.10348108108108107
45,WAFU,2,0.0,0.0,0.0,0.0,-0.765,-0.765
46,TMDX,21,0.0,0.7619047619047619,1.0476190476190477,0.09523809523809523,0.06842000000000001,0.05876666666666667
47,BYND,1000,0.516,1.108,3.412,0.219,0.0946184586108468,0.172036
48,SY,23,0.043478260869565216,0.21739130434782608,0.391304347826087,0.043478260869565216,-0.1982,0.01337391304347826
49,RRBI,14,0.0,0.0,0.07142857142857142,0.0,0.6808,0.06977142857142857
50,YJ,1000,0.53,16.713,25.834,0.47,0.7417250212414173,0.2127737
