,IPODate,Symbol,Name,Month,IPOPrice,IPOOpenPrice,SharesOutstanding,IPOMarketCap,VolumeTradedOpeningDay,NumberOfEmployees,Currency,MonthlySP500,CPISeasonallyAdj,IPOAfter1wk,ClosePrice,PriceChange,PriceChangeSecond,DidPriceGoUp,DiffExp
0,4-Jan-19,SXTC,China SXT Pharmaceuticals,January,4,17.96,5937500,106637500,10372,105,USD,2607.39,252.493,1/11/2019,24.8,6.84,1.380846325,1,13.96
1,8-Jan-19,MTC,MMTec,January,4,4.5,19800000,89100000,179950,33,USD,2607.39,252.493,1/15/2019,7.48,2.98,1.662222222,1,0.5
2,8-Jan-19,MDJH,MDJM Ltd.,January,5,4.75,11980000,56905000,34720,145,USD,2607.39,252.493,1/15/2019,3.8895,-0.8605,0.818842105,0,0.25
3,9-Jan-19,BCOW,1895 Bancorp of Wisconsin,January,10,10.5,3200450,33604725,212436,124,USD,2607.39,252.493,1/16/2019,10,-0.5,0.952380952,0,0.5
4,17-Jan-19,RBKB,Rhinebeck Bancorp,January,10,11.31,4162883,47082206.73,823975,166,USD,2607.39,252.493,1/24/2019,11.58,0.27,1.023872679,1,1.31
5,31-Jan-19,NFE,New Fortress Energy,January,14,13.25,20000000,265000000,4047037,140,USD,2607.39,252.493,2/7/2019,14.06,0.81,1.061132075,1,0.75
6,4-Feb-19,INMB,Inmune Bio,February,8,8.44,11219441,94692082.04,91282,3,USD,2754.86,252.441,2/11/2019,7.69,-0.75,0.911137441,0,0.44
7,7-Feb-19,ALEC,Alector,February,19,18.7,68365044,1278426323,3626074,78,USD,2754.86,252.441,2/14/2019,18.8,0.1,1.005347594,1,0.3
8,8-Feb-19,RMG,RMG Acquisition,February,10,3.54,1000000000,3541278227,8444821.714,146455,GBP,2754.86,252.441,2/15/2019,3.572936796,0.031658569,1.00930418,1,6.46
9,8-Feb-19,HARP,Harpoon Therapeutics,February,14,14,23909025,334726350,1311421,45,USD,2754.86,252.441,2/15/2019,14.8,0.8,1.057142857,1,0
10,8-Feb-19,GOSS,Gossamer Bio,February,16,18.65,63276910,1179797987,5895238,105,USD,2754.86,252.441,2/15/2019,19.3,0.655,1.034852547,1,2.65
11,12-Feb-19,ANCN,Anchiano Therapeutics,February,11.5,184,778784,143296256,40622,19,USD,2754.86,252.441,2/19/2019,144,-40,0.782608696,0,172.5
12,13-Feb-19,IMAC,IMAC Holdings,February,5.13,3.5,7243024,25350584,170169,95,USD,2754.86,252.441,2/20/2019,4,0.5,1.142857143,1,1.63
13,14-Feb-19,TCRR,TCR2 Therapeutics,February,15,16,23189901,371036097,614686,47,USD,2754.86,252.441,2/21/2019,15.13,-0.8699,0.945625,0,1
14,15-Feb-19,MITO,Stealth BioTherapeutics,February,12,12.15,34441559,418464941.9,1139266,57,USD,2754.86,252.441,2/22/2019,11.92,-0.23,0.981069959,0,0.15
15,15-Feb-19,HOTH,Hoth Therapeutics,February,5.6,6.9,9424574,65029560.6,26340,2,USD,2754.86,252.441,2/22/2019,6.89,-0.01,0.998550725,0,1.3
16,15-Feb-19,AREC,American Resources,February,4,4.25,17763469,75494743.25,4411.702703,227,USD,2754.86,252.441,2/22/2019,3.9805,-0.2695,0.936588235,0,0.25
17,19-Feb-19,SOLY,Soliton,February,5,4.89,15597624,76347249.96,161072,8,USD,2754.86,252.441,2/26/2019,4.58,-0.3148,0.936605317,0,0.11
18,26-Feb-19,SLGG,Super League Gaming,February,11,11.15,8338020,92968923,1433572,46,USD,2754.86,252.441,3/5/2019,9.3,-1.85,0.834080717,0,0.15
19,28-Feb-19,KLDO,Kaleido Biosciences,February,15,12.8,29632921,379301388.8,1166687,118,USD,2754.86,252.441,3/7/2019,12.71,-0.09,0.99296875,0,2.2
20,7-Mar-19,SWAV,ShockWave Medical,March,17,24.8,26906762,667287697.6,3162245,162,USD,2803.98,252.969,3/14/2019,30.09,5.29,1.213306452,1,7.8
21,8-Mar-19,FUTU,Futu Holdings,March,12,14.76,111043470,1639001617,7250538,585,HKD,2803.98,252.969,3/15/2019,18,3.24,1.219512195,1,2.76
22,20-Mar-19,TIGR,UP Fintech Holding,March,8,8.11,132786816,1076901078,21973468,446,USD,2803.98,252.969,3/27/2019,12.87,4.76,1.586929716,1,0.11
23,21-Mar-19,LEVI,Levi Strauss &amp; Co.,March,17,22.22,36666667,814733340.7,43433725,14400,USD,2803.98,252.969,3/28/2019,22.69,0.47,1.021152115,1,5.22
24,27-Mar-19,GNFT,Genfit,March,22,21.44,31183921,668678892.3,222776.1094,3279.859413,EUR,2803.98,252.969,4/3/2019,24.12904672,2.6859802,1.125421955,1,0.56
25,28-Mar-19,DTIL,Precision BioSciences,March,16,18,49029024,882522432,3864060,127,USD,2803.98,252.969,4/4/2019,15.15,-2.85,0.841666667,0,2
26,29-Mar-19,PUYI,Puyi Inc.,March,6,6.45,60314676,389029660.2,484314,298,CNY,2803.98,252.969,4/5/2019,6.3,-0.15,0.976744186,0,0.45
27,29-Mar-19,LYFT,"Lyft, Inc.",March,72,87.33,273097591,23849612622,71485240,4791,USD,2803.98,252.969,4/5/2019,74.45,-12.88,0.852513455,0,15.33
28,2-Apr-19,PBTS,Powerbridge Technologies Co.,April,5,5.5,8655248,47603864,736307,299,USD,2903.80,254.147,4/9/2019,6.38,0.88,1.16,1,0.5
29,4-Apr-19,RPLA,Replay Acquisition,April,10,31.71,533324046,16911122963,0,19008,EUR,2903.80,254.147,4/11/2019,29.99346007,-1.715447652,0.945867552,0,21.71
30,4-Apr-19,TW,Tradeweb Markets,April,27,34.26,40000000,1370400000,32661813,931,USD,2903.80,254.147,4/11/2019,42.06,7.8,1.227670753,1,7.26
31,4-Apr-19,NGM,NGM Biopharmaceuticals,April,16,15,64993706,974905590,1995765,164,USD,2903.80,254.147,4/11/2019,16,1,1.066666667,1,1
32,4-Apr-19,SILK,Silk Road Medical,April,20,33.15,30228959,1002089991,5906640,176,USD,2903.80,254.147,4/11/2019,36.66,3.51,1.105882353,1,13.15
33,5-Apr-19,GHSI,Guardion Health Sciences,April,4,22.92,3653902,83747265.76,50768,20,USD,2903.80,254.147,4/12/2019,20.879358,-2.040596,0.910966754,0,18.92
34,11-Apr-19,PD,PagerDuty,April,24,36.75,73611088,2705207484,9287894,524,USD,2903.80,254.147,4/18/2019,39.15,2.4,1.065306122,1,12.75
35,11-Apr-19,TUFN,Tufin Software Technologies,April,14,18.05,32436501,585478843.1,6296623,424,USD,2903.80,254.147,4/18/2019,22.03,3.98,1.220498615,1,4.05
36,12-Apr-19,JMIA,Jumia Technologies AG,April,14.5,18.95,76383247,1447462531,9472324,5128,USD,2903.80,254.147,4/19/2019,35.15,16.2,1.854881266,1,4.45
