Name,Symbol,IPO Date,IPO Price,total shares outstanding,trading volume on listing day,(IPO +7) Date,New Avg Price After 1 Week,Exchange,HQ Location,Industry
Games &amp; Esports Experience Acquisition,GEEX,02-12-21,,,,09-12-21,,,,
UTA Acquisition,UTAA,02-12-21,,,,09-12-21,,,,
ROC Energy Acquisition,ROC,02-12-21,,,,09-12-21,,,,
Capitalworks Emerging Markets Acquisition,CMCA,01-12-21,,,,08-12-21,,,,
TLGY Acquisition,TLGY,01-12-21,,,,08-12-21,,,,
Roth CH Acquisition V Co.,ROCL,01-12-21,,,,08-12-21,,,,
PROOF Acquisition I,PACI,01-12-21,,,,08-12-21,,,,
Canna-Global Acquisition,CNGL,30-11-21,,,,07-12-21,,,,
AeroClean Technologies,AERC,24-11-21,,,,01-12-21,,,,
Beard Energy Transition Acquisition,BRD,24-11-21,,,,01-12-21,,,,
Everest Consolidator Acquisition,MNTN,24-11-21,,,,01-12-21,,,,
Vahanna Tech Edge Acquisition I,VHNA,23-11-21,,,,30-11-21,,,,
Mana Capital Acquisition,MAAQ,23-11-21,,,,30-11-21,,,,
Legato Merger II,LGTO,22-11-21,,,,29-11-21,,,,
8i Acquisition 2,LAX,22-11-21,,,,29-11-21,,,,
Advanced Human Imaging,AHI,19-11-21,,,,26-11-21,,,,
Snow Lake Resources,LITM,19-11-21,,,,26-11-21,,,,
Crescera Capital Acquisition,CREC,19-11-21,,,,26-11-21,,,,
FTAC Zeus Acquisition,ZING,19-11-21,,,,26-11-21,,,,
Infinite Acquisition,NFNT,19-11-21,,,,26-11-21,,,,
InFinT Acquisition,IFIN,19-11-21,,,,26-11-21,,,,
ALSP Orchid Acquisition I,ALOR,19-11-21,,,,26-11-21,,,,
FinWise Bancorp,FINW,19-11-21,,,,26-11-21,,,,
Arisz Acquisition,ARIZ,18-11-21,,,,25-11-21,,,,
bleuacacia ltd.,BLEU,18-11-21,,,,25-11-21,,,,
Sweetgreen,SG,18-11-21,,,,25-11-21,,,,
Sono Group,SEV,17-11-21,,,,24-11-21,,,,
Seaport Global Acquisition II,SGII,17-11-21,,,,24-11-21,,,,
Iris Energy,IREN,17-11-21,,,,24-11-21,,,,
LF Capital Acquisition II,LFAC,17-11-21,,,,24-11-21,,,,
ShoulderUp Technology Acquisition,SUAC,17-11-21,,,,24-11-21,,,,
Braze,BRZE,17-11-21,,,,24-11-21,,,,
UserTesting,USER,17-11-21,,,,24-11-21,,,,
Nabors Energy Transition,NETC,17-11-21,,,,24-11-21,,,,
Energem,ENCP,16-11-21,,,,23-11-21,,,,
Orion Office REIT,ONL,15-11-21,,,,22-11-21,,,,
Mynaric AG,MYNA,12-11-21,,,,19-11-21,,,,
Integrated Rail &amp; Resources Acquisition,IRRX,12-11-21,,,,19-11-21,,,,
BT Brands,BTBD,12-11-21,,,,19-11-21,,,,
Journey Medical,DERM,12-11-21,,,,19-11-21,,,,
Mountain Crest Acquisition V,MCAG,12-11-21,,,,19-11-21,,,,
Tivic Health Systems,TIVC,11-11-21,,,,18-11-21,,,,
Weave Communications,WEAV,11-11-21,,,,18-11-21,,,,
Backblaze,BLZE,11-11-21,,,,18-11-21,,,,
